"taxonID"	"gbifNameUsage"	"gbifStatus"	"threatStatusGlobal"
"2b328c2f-2567-45ca-9cf0-58ccef80acf1"	"Polyscias sechellarum var. contracta F.Friedmann"	"ACCEPTED"	"CR"
"3329e8c9-1f4f-4105-b073-e2036882086a"	"Polyscias sechellarum var. curiosae F.Friedmann"	"ACCEPTED"	"CR"
"49362f68-829c-4cd6-8386-d42368ce8bf2"	"Polyscias sechellarum var. sechellarum"	"ACCEPTED"	"EN"
"4ae1cd8e-4813-47dd-840d-da15fec6450d"	"Schefflera actinophylla (Endl.) Harms"	"ACCEPTED"	
"923b96ca-cace-45a5-bf69-66917f10c4d1"	"Schefflera heptaphylla (L.) Frodin"	"ACCEPTED"	
"700437af-1144-4b1f-abab-a7513965c5a2"	"Aristolochia gigantea Mart. & Zucc."	"ACCEPTED"	
"d0a77b52-ec98-4a88-9513-b1b2e7d66fc3"	"Aristolochia hians Willd."	"ACCEPTED"	
"8d685912-e674-4d5d-adc0-43b694c05a24"	"Aristolochia littoralis Parodi"	"SYNONYM"	
"da704bdd-25a5-4b07-8fa8-40e9ad724c9c"	"Ageratum conyzoides L."	"ACCEPTED"	
"971d169c-3f5e-4678-9f97-a424a2cc0aba"	"Dendranthema morifolium (Ramat.) Tzvelev"	"HOMOTYPIC_SYNONYM"	
"e1f0ac99-789e-4157-b8b2-2daacd1e0886"	"Elephantopus mollis Kunth"	"ACCEPTED"	
"284f9c7a-e3aa-42f5-9a11-4464bc86029a"	"Emilia sonchifolia (L.) DC."	"SYNONYM"	
"e788baa8-f9c9-4cc4-9c3a-2decb8a226a7"	"Erigeron canadensis L."	"ACCEPTED"	
"67658c10-8d7d-4594-8d2b-cf0a0dbae6d4"	"Erigeron karvinskianus DC."	"ACCEPTED"	
"09062b90-9be6-4dd5-a663-a2bf0bd0bbda"	"Gaillardia aestivalis (Walter) H.Rock"	"ACCEPTED"	
"8014e1fe-ccfb-45ab-a871-b62964d862f1"	"Gaillardia pulchella Foug."	"ACCEPTED"	
"0ba4f715-4df7-47e4-b64c-48783a1c6fc2"	"Gerbera jamesonii Bolus ex Hook.f."	"DOUBTFUL"	
"5397785"	"Gymnanthemum amygdalinum (Delile) Sch.Bip. ex Walp."	"ACCEPTED"	
"769ead94-f3cf-454a-a049-4d37f3536f63"	"Gymnanthemum coloratum (Willd.) H.Rob. & B.Kahn"	"ACCEPTED"	
"8b9b81e7-362f-4432-85d1-d928f8439771"	"Gynura sechellensis (Baker) Hemsl."	"ACCEPTED"	"VU"
"a95a8f5e-b4e0-4954-a342-c4081d31a073"	"Calophyllum inophyllum L."	"ACCEPTED"	"LC"
"59f60416-6a80-4276-a0b7-2457694b750d"	"Clusia rosea Jacq."	"ACCEPTED"	
"87fde247-d2cb-472d-87fb-d007a9e38583"	"Garcinia mangostana L."	"ACCEPTED"	
"f9a3c0be-ca72-4a68-ab66-e553c5208d2d"	"Garcinia xanthochymus Hook.f. ex T.Anderson"	"SYNONYM"	
"b16e700c-e2e9-4758-ae9e-c0059af5dd46"	"Pentadesma butyracea Sabine"	"ACCEPTED"	
"f8611dc0-030d-4947-8258-522cf2695dd7"	"Cochlospermum vitifolium (Willd.) Spreng."	"ACCEPTED"	
"3cd9d433-e372-4bce-99ee-bfcdccd4aaee"	"Combretum constrictum (Benth.) M.A.Lawson"	"ACCEPTED"	
"fbcbb667-3e68-4ade-9e95-5304db31b4e1"	"Combretum indicum (L.) DeFilipps"	"HETEROTYPIC_SYNONYM"	
"315faf00-672e-4910-ab28-4d662b3696eb"	"Lumnitzera racemosa Willd."	"ACCEPTED"	"LC"
"19ad97ef-27f2-4c35-b62b-0e79fe336379"	"Terminalia arjuna (Roxb.) Wight & Arn."	"ACCEPTED"	
"36a5b1e0-a9fc-4e72-86be-2e6049d7d735"	"Terminalia bellirica (Gaertn.) Roxb."	"ACCEPTED"	
"2a4eac24-c5cb-4591-83f3-1aceb954bc0b"	"Terminalia benzoin L.f."	"DOUBTFUL"	
"8a1df862-ec2c-4d51-9178-0429cc18b5d1"	"Terminalia boivinii Tul."	"ACCEPTED"	"LC"
"20220420130206"	""	""	
"79d24f29-d2f3-4e94-a2e4-94603306d775"	"Terminalia catappa L."	"ACCEPTED"	"LC"
"636fa0a4-620e-4a16-adf4-e7179e50e26e"	"Terminalia mantaly H.Perrier"	"SYNONYM"	
"044d97aa-3757-4c0d-8403-269e007d9142"	"Argyreia nervosa (Burm.fil.) Bojer"	"SYNONYM"	
"10f0c1a9-a318-42bd-9291-a9e61d3b9c48"	"Cuscuta campestris Yunck."	"SYNONYM"	
"6cde8f55-da0b-4acd-bc37-2e31566b2a23"	"Helianthus annuus L."	"ACCEPTED"	
"ffe74a00-3855-4329-833c-dc64e7f60f7d"	"Helianthus tuberosus L."	"ACCEPTED"	
"c7a12073-9949-44bb-8c26-142c7b783d28"	"Lactuca sativa L."	"ACCEPTED"	
"486cca0f-3c17-4022-8db4-6e6d9bc37e9b"	"Launaea intybacea (Jacq.) Beauverd"	"ACCEPTED"	
"b36a3506-0963-4878-b97c-8c2d9c9db28d"	"Launaea sarmentosa (Willd.) Sch.Bip. ex Kuntze"	"ACCEPTED"	
"6fa7b0c5-834b-4b3a-b575-96d55643ad84"	"Melampodium divaricatum (Rich.) DC."	"ACCEPTED"	
"20210708161358"	"Mikania micrantha Kunth"	"ACCEPTED"	
"1a73474a-c03a-4e29-9128-f5e412a2911b"	"Parthenium hysterophorus L."	"ACCEPTED"	
